,Address,ADDRESBR,STALPBR,ZIPBR,x,y,STATE,GEOID,BLOCK,TRACT
112,"2170 North Clybourn Avenue, IL 60614",2170 North Clybourn Avenue,IL,60614,-87.66351,41.92097,NS,17,2023,832500
113,"2185 West Roosevelt Road, IL 60187",2185 West Roosevelt Road,IL,60187,-88.14317,41.8576,NS,17,4003,842604
114,"2222 Essington Road, IL 60435",2222 Essington Road,IL,60435,-88.161575,41.562424,NS,17,3005,880412
115,"2228 South Western Avenue, IL 60608",2228 South Western Avenue,IL,60608,-87.68564,41.85174,NS,17,2001,841300
116,"223 East Roosevelt Rd, IL 60148",223 East Roosevelt Rd,IL,60148,-88.01099,41.860256,NS,17,2004,844309
117,"2235 North Milwaukee Avenue, IL 60647",2235 North Milwaukee Avenue,IL,60647,-87.69492,41.92142,NS,17,1013,221400
118,"230 W Monroe Street, Suite 125, IL 60606","230 W Monroe Street, Suite 125",IL,60606,-87.63431,41.88066,NS,17,1079,839100
119,"230 West Grand Avenue, IL 60654",230 West Grand Avenue,IL,60654,-87.63472,41.891586,NS,17,1035,081800
120,"2310 U.S. Highway 34, IL 60543",2310 U.S. Highway 34,IL,60543,,,,,,
121,"2310 West 95th Street, IL 60643",2310 West 95th Street,IL,60643,,,,,,
122,"2311 N Us Hwy 12, IL 60081",2311 N Us Hwy 12,IL,60081,-88.23927,42.437164,NS,17,2030,870105
123,"2317 West Madison Street, IL 60612",2317 West Madison Street,IL,60612,-87.6845,41.881145,NS,17,1000,280900
124,"2365 North Farnsworth Avenue, IL 60502",2365 North Farnsworth Avenue,IL,60502,-88.28211,41.803402,NS,17,4015,852903
125,"2370 South Waukegan Road, IL 60062",2370 South Waukegan Road,IL,60062,,,,,,
126,"24 East Chicago Street, IL 60120",24 East Chicago Street,IL,60120,-88.28549,42.03713,NS,17,2022,854600
127,"2404 East Oakland, IL 61701",2404 East Oakland,IL,61701,-88.95707,40.473717,NS,17,2044,001800
128,"2500 West Jefferson Street, IL 60435",2500 West Jefferson Street,IL,60435,,,,,,
129,"2501 North Clark Street, IL 60614",2501 North Clark Street,IL,60614,-87.64184,41.92787,NS,17,1003,070102
130,"2503 W 75th St, IL 60540",2503 W 75th St,IL,60540,,,,,,
131,"253 East Dundee Road, IL 60090",253 East Dundee Road,IL,60090,-87.90979,42.13969,NS,17,1003,802506
132,"255 Skokie Valley Road, IL 60035",255 Skokie Valley Road,IL,60035,-87.80459,42.156273,NS,17,2029,865801
133,"255 W 144th Street, IL 60827",255 W 144th Street,IL,60827,-87.62844,41.633495,NS,17,4015,826600
134,"2555 West Golf Road, IL 60169",2555 West Golf Road,IL,60169,-88.143036,42.046543,NS,17,1002,804711
135,"262 South Weber Road, IL 60490",262 South Weber Road,IL,60490,-88.12588,41.69028,NS,17,2001,880122
136,"2639 North Milwaukee Avenue, IL 60647",2639 North Milwaukee Avenue,IL,60647,-87.70855,41.929775,NS,17,1003,220602
137,"270 South Randall Road, IL 60123",270 South Randall Road,IL,60123,-88.33807,42.030968,NS,17,1000,851911
138,"27242 West Eames Street, IL 60410",27242 West Eames Street,IL,60410,,,,,,
139,"2790 N. Clybourn Avenue, IL 60614",2790 N. Clybourn Avenue,IL,60614,-87.6778,41.931995,NS,17,2000,070700
140,"2800 South 17th Avenue, IL 60155",2800 South 17th Avenue,IL,60155,,,,,,
141,"2801 Dundee, IL 60062",2801 Dundee,IL,60062,-87.848564,42.13833,NS,17,1000,801605
142,"2801 Greenbriar, IL 62704",2801 Greenbriar,IL,62704,-89.706764,39.775387,NS,17,1007,002002
143,"2801 Pfingsten Road, IL 60025",2801 Pfingsten Road,IL,60025,,,,,,
144,"2850 Mannheim Rd, IL 60131",2850 Mannheim Rd,IL,60131,-87.88465,41.929714,NS,17,3000,811702
145,"2911 Commerce Dr, IL 60051",2911 Commerce Dr,IL,60051,,,,,,
146,"2968 N Lincoln Avenue, IL 60657",2968 N Lincoln Avenue,IL,60657,-87.663185,41.93575,NS,17,3013,062800
147,"29w555 Batavia Road, IL 60555",29w555 Batavia Road,IL,60555,-88.19879,41.83121,NS,17,2002,841607
148,"30 South Wacker Drive, IL 60606",30 South Wacker Drive,IL,60606,,,,,,
149,"300 East Illinois Road, IL 60045",300 East Illinois Road,IL,60045,,,,,,
150,"300 East Rand Road, IL 60004",300 East Rand Road,IL,60004,-87.97956,42.11204,NS,17,1010,803008
151,"300 Northwest Highway, IL 60013",300 Northwest Highway,IL,60013,,,,,,
152,"300 South Riverside, IL 60606",300 South Riverside,IL,60606,,,,,,
153,"303 S Mattis Avenue, IL 61821",303 S Mattis Avenue,IL,61821,-88.27684,40.114544,NS,17,1009,001000
154,"3032 North Clark Street, IL 60657",3032 North Clark Street,IL,60657,-87.649055,41.937943,NS,17,1001,063100
155,"3033 North Pulaski Road, IL 60641",3033 North Pulaski Road,IL,60641,-87.727104,41.936447,NS,17,2008,210501
156,"310 North Randall Road, IL 60156",310 North Randall Road,IL,60156,-88.33549,42.181892,NS,17,1020,871207
157,"3101 West Cermak Road, IL 60623",3101 West Cermak Road,IL,60623,-87.70291,41.85179,NS,17,2000,300900
158,"3115 Ridge Road, IL 60438",3115 Ridge Road,IL,60438,-87.54126,41.564793,NS,17,4003,828100
159,"3157 W. 95th Street, IL 60805",3157 W. 95th Street,IL,60805,-87.70128,41.720734,NS,17,4010,821800
160,"3200 South Chicago Road, Suite A, IL 60411","3200 South Chicago Road, Suite A",IL,60411,,,,,,
161,"3204 West Irving Park Road, IL 60618",3204 West Irving Park Road,IL,60618,-87.708275,41.95392,NS,17,2015,160502
162,"3225 West Addison St, IL 60618",3225 West Addison St,IL,60618,,,,,,
163,"325 North Milwaukee Avenue, IL 60061",325 North Milwaukee Avenue,IL,60061,-87.94242,42.230618,NS,17,1014,866200
164,"3250 Kirchoff R, IL 60008",3250 Kirchoff R,IL,60008,-88.02048,42.078403,NS,17,3010,803902
165,"330 N Desplaines St, IL 60661",330 N Desplaines St,IL,60661,-87.64431,41.887726,NS,17,3000,280100
166,"332 Park Avenue, IL 60022",332 Park Avenue,IL,60022,-87.75911,42.13439,NS,17,2021,800200
167,"3335 North Ashland Avenue, IL 60657",3335 North Ashland Avenue,IL,60657,-87.66873,41.942497,NS,17,1003,062400
168,"340 East Randolph Street, IL 60601",340 East Randolph Street,IL,60601,-87.620026,41.88452,NS,17,1003,320101
169,"3480 West 183rd Street, IL 60429",3480 West 183rd Street,IL,60429,-87.70097,41.55716,NS,17,2025,825504
170,"35 West Wacker Drive, IL 60601",35 West Wacker Drive,IL,60601,-87.62588,41.88759,NS,17,1012,320102
171,"3500 South King Drive, IL 60653",3500 South King Drive,IL,60653,,,,,,
172,"353 West 83rd Street, IL 60620",353 West 83rd Street,IL,60620,,,,,,
173,"3699 North Main Street, IL 61103",3699 North Main Street,IL,61103,,,,,,
174,"370 East 162nd Street, IL 60473",370 East 162nd Street,IL,60473,-87.61314,41.60087,NS,17,2009,827801
175,"3714 North Broadway Street, IL 60613",3714 North Broadway Street,IL,60613,-87.648605,41.949535,NS,17,1001,060900
176,"3730 North Southport, IL 60613",3730 North Southport,IL,60613,-87.66409,41.949505,NS,17,1010,060400
177,"380 Townline Rd, IL 60060",380 Townline Rd,IL,60060,-87.96857,42.240448,NS,17,2013,863902
178,"3856 West 26th Street, IL 60623",3856 West 26th Street,IL,60623,,,,,,
179,"3868 North Lincoln Avenue, IL 60613",3868 North Lincoln Avenue,IL,60613,-87.6772,41.95191,NS,17,1015,050600
180,"389 E Rt 173, IL 60002",389 E Rt 173,IL,60002,-88.06777,42.466293,RTE,17,1040,860812
181,"3950 Fountain Square Place, IL 60085",3950 Fountain Square Place,IL,60085,-87.899414,42.343517,NS,17,3018,861504
182,"3956 North Sheridan, IL 60613",3956 North Sheridan,IL,60613,-87.65454,41.954124,NS,17,2000,832100
183,"399 South Weber Road, IL 60446",399 South Weber Road,IL,60446,-88.12322,41.609993,NS,17,3026,884101
184,"4 N Washington Street, IL 60521",4 N Washington Street,IL,60521,-87.92931,41.803757,NS,17,2009,845300
185,"40 North Mannheim Road, IL 60162",40 North Mannheim Road,IL,60162,,,,,,
186,"400 Central Avenue, IL 60093",400 Central Avenue,IL,60093,-87.770775,42.10505,NS,17,1053,801800
187,"400 East Ogden Avenue, IL 60521",400 East Ogden Avenue,IL,60521,-87.92061,41.817497,NS,17,1006,844702
188,"4001 West 167th Street, IL 60478",4001 West 167th Street,IL,60478,-87.71422,41.58619,NS,17,1000,825501
189,"401 East State Street, IL 61104",401 East State Street,IL,61104,-89.088745,42.268253,ST,17,1034,001100
190,"401 N Clark St, IL 60654",401 N Clark St,IL,60654,-87.63106,41.889244,NS,17,2038,081700
191,"405 North Broadway, IL 61801",405 North Broadway,IL,61801,-88.20751,40.11564,NS,17,1002,011100
192,"411 South Schmale Road, IL 60188",411 South Schmale Road,IL,60188,-88.105225,41.892246,NS,17,3000,841708
193,"4141 West 95th Street, IL 60453",4141 West 95th Street,IL,60453,,,,,,
194,"4145 West Peterson, IL 60646",4145 West Peterson,IL,60646,-87.732376,41.99008,NS,17,1005,130200
195,"4198 Illinois 83, IL 60047",4198 Illinois 83,IL,60047,-87.98945,42.18247,HWY,17,3002,864518
196,"4200 Dundee Road, IL 60062",4200 Dundee Road,IL,60062,-87.882484,42.138474,NS,17,2025,801601
197,"4200 West Dempster Street, IL 60076",4200 West Dempster Street,IL,60076,-87.73282,42.040768,NS,17,3019,806802
198,"4223 North Harlem Avenue, IL 60706",4223 North Harlem Avenue,IL,60706,-87.80727,41.956486,NS,17,3014,810502
199,"43 East Golf Road, IL 60005",43 East Golf Road,IL,60005,-87.97874,42.051323,NS,17,1001,805107
200,"4302 West Elm Street, IL 60050",4302 West Elm Street,IL,60050,,,,,,
201,"4363 South Archer Avenue, IL 60632",4363 South Archer Avenue,IL,60632,,,,,,
202,"439 West Schick Road, IL 60108",439 West Schick Road,IL,60108,-88.11819,41.95314,NS,17,1023,841112
203,"4425 Harrison Avenue, IL 61108",4425 Harrison Avenue,IL,61108,,,,,,
204,"444 S Rand Rd, IL 60047",444 S Rand Rd,IL,60047,-88.106476,42.189915,NS,17,2027,864409
205,"4440 W North Avenue, IL 60639",4440 W North Avenue,IL,60639,-87.73724,41.909748,NS,17,2014,230500
206,"4455 South Pulaski Road, IL 60632",4455 South Pulaski Road,IL,60632,-87.72375,41.812378,NS,17,1012,570100
207,"4461 Fox Valley Center Drive, IL 60504",4461 Fox Valley Center Drive,IL,60504,-88.20837,41.76028,NS,17,1000,846509
208,"45 Green Bay Road, IL 60022",45 Green Bay Road,IL,60022,-87.746025,42.119576,NS,17,4000,800200
209,"4645 W Diversey Ave, IL 60639",4645 W Diversey Ave,IL,60639,-87.74294,41.931576,NS,17,1000,190900
210,"4653 West Higgins Rd, IL 60192",4653 West Higgins Rd,IL,60192,-88.193275,42.0754,NS,17,3073,804204
211,"4711 North Lincoln Avenue, IL 60625",4711 North Lincoln Avenue,IL,60625,-87.687515,41.967003,NS,17,3010,040600
212,"4730 West 79th Street, IL 60652",4730 West 79th Street,IL,60652,-87.74006,41.749184,NS,17,2010,700200
213,"4809 South Ashland Avenue, IL 60609",4809 South Ashland Avenue,IL,60609,-87.66491,41.80651,NS,17,2002,611200
214,"4824 N Pulaski Rd, IL 60630",4824 N Pulaski Rd,IL,60630,-87.72805,41.968662,NS,17,1010,140400
